candidate_id,rank,score,reasoning
CAND_0071974,1,1.0000,"Presents a highly compelling case for the role. With 7.8 years of experience demonstrating Weaviate, Pinecone and Qdrant, this Senior AI Engineer has progressed from Staff Machine Learning Engineer at Meta to Senior AI Engineer at Netflix. Direct experience with Learning to Rank and Weaviate is a direct match for the project's technical stack. Notable concern: 45-day notice period (sub-30 preferred)."
CAND_0077337,2,0.9661,"Exceptional fit for the Senior AI Engineer mandate. Staff Machine Learning Engineer (7.0y experience) who has improved new-user retention by 11%, with core strengths in QLoRA, Information Retrieval and RAG. Direct experience with Semantic Search and Pinecone demonstrates the exact technical depth requested by the hiring team. Worth noting: notice period exceeds ideal 30 days (60d)."
CAND_0094759,3,0.8656,"A high-impact candidate with precise technical fit. Lead AI Engineer with 8.6 years of experience, with proven expertise in Prompt Engineering, Hugging Face Transformers and Semantic Search, with product company experience. Direct experience with Hugging Face Transformers and Learning to Rank satisfies the primary technical qualifications sought for this role. Flag: low recruiter response rate (11%)."
CAND_0002025,4,0.8498,"Embodies the precise skill set required for the founding team. Having progressed from Lead AI Engineer at Aganitha to Senior AI Engineer at Apple, this candidate brings 5.9 years with proven expertise in FAISS, TensorFlow and scikit-learn. Direct experience with FAISS and TensorFlow aligns precisely with the JD's core technical requirements. Strong alignment across all evaluated dimensions."
CAND_0018499,5,0.8156,"Exemplifies the ideal technical depth for this position. With 7.2 years of experience with hands-on proficiency in Deep Learning, Weaviate and Recommendation Systems, this Senior Machine Learning Engineer has progressed from Staff Machine Learning Engineer at Google to Senior Machine Learning Engineer at Zomato. Direct experience with Weaviate and Recommendation Systems is a direct match for the project's technical stack. Profile presents no notable risk factors."
CAND_0008425,6,0.7770,"Exemplifies the ideal technical depth for this position. With 7.8 years of experience bringing strong competency in Learning to Rank, Qdrant and Sentence Transformers, this Senior NLP Engineer has progressed from Senior ML Engineer — Search & Ranking at Zomato to Senior NLP Engineer at Ola. Direct experience with Learning to Rank and Qdrant aligns precisely with the JD's core technical requirements. Worth noting: moderate 90-day notice period."
CAND_0007411,7,0.7422,"An elite-caliber profile for the founding AI team. Senior Machine Learning Engineer with 8.0 years of experience, demonstrating Prompt Engineering, PyTorch and Information Retrieval, with product company experience. Direct experience with Fine-tuning LLMs and PyTorch demonstrates the exact technical depth requested by the hiring team. Notable concern: low recruiter response rate (12%)."
CAND_0060072,8,0.7189,"Exceptional fit for the Senior AI Engineer mandate. With 5.7 years of experience leveraging deep experience in Sentence Transformers, Fine-tuning LLMs and Prompt Engineering, this Staff Machine Learning Engineer has progressed from Senior Applied Scientist at Wysa to Staff Machine Learning Engineer at Amazon. Direct experience with Sentence Transformers and PyTorch demonstrates the exact technical depth requested by the hiring team. Observation: 90-day timeline before joining; low recruiter response rate (10%)."
CAND_0042029,9,0.7133,"Uniquely qualified for the Senior AI Engineer position. With 6.5 years of experience excelling in PyTorch, NLP and RAG, this Senior Data Scientist has progressed from Machine Learning Engineer at Observe.AI to Senior Data Scientist at Flipkart. Direct experience with PyTorch and NLP demonstrates the exact technical depth requested by the hiring team. Point of caution: requires 45 days to join."
CAND_0046525,10,0.7017,"Ideally positioned for the Senior AI Engineer position. Senior Machine Learning Engineer (6.1y experience) who has reduced the average time-to-shortlist by 38%, with core strengths in Machine Learning, LlamaIndex and Sentence Transformers. Direct experience with Information Retrieval and TensorFlow aligns precisely with the JD's core technical requirements. Worth noting: requires 60 days to join."
